504118.385,7518528.68,628.925
504114.125,7518531.298,628.967
504109.865,7518533.916,628.965
504105.605,7518536.534,628.933
504101.345,7518539.151,629.137
504097.085,7518541.769,629.204
504092.825,7518544.387,629.273
504088.565,7518547.005,629.291
504084.305,7518549.622,629.463
504080.045,7518552.24,629.623
504075.785,7518554.858,629.74
504071.525,7518557.476,629.898
504067.266,7518560.093,629.922
504063.006,7518562.711,630.093
504058.746,7518565.329,630.113
504054.486,7518567.947,630.246
504050.226,7518570.564,630.353
504045.966,7518573.182,630.569
504041.706,7518575.8,630.707
504037.446,7518578.418,630.928
504033.186,7518581.035,631.054
504028.926,7518583.653,631.151
504024.666,7518586.271,631.256
504020.406,7518588.889,631.419
504016.146,7518591.506,631.516
504011.886,7518594.124,631.572
504007.626,7518596.742,631.588
504003.366,7518599.36,631.606
503999.106,7518601.977,632.521
503994.846,7518604.595,629.675
503990.586,7518607.213,629.302
503986.326,7518609.831,629.463
503982.066,7518612.449,629.284
503977.806,7518615.066,626.908
503973.546,7518617.684,623.899
503969.286,7518620.302,623.667
503965.026,7518622.92,623.722
503960.766,7518625.537,623.475
503956.506,7518628.155,620.866
503952.246,7518630.773,619.512
503947.986,7518633.391,619.552
503943.726,7518636.008,618.984
503939.466,7518638.626,616.256
503935.206,7518641.244,614.527
503930.946,7518643.862,614.486
503926.686,7518646.479,615.096
503922.426,7518649.097,611.801
503918.167,7518651.715,609.858
503913.907,7518654.333,609.847
503909.647,7518656.95,608.532
503905.387,7518659.568,606.111
503901.127,7518662.186,605.183
503896.867,7518664.804,604.897
503892.607,7518667.421,604.72
503888.347,7518670.039,605.263
503884.087,7518672.657,605.549
503879.827,7518675.275,605.612
503875.567,7518677.892,605.535
503871.307,7518680.51,605.41
503867.047,7518683.128,605.271
503862.787,7518685.746,605.139
503858.527,7518688.363,605.044
503854.267,7518690.981,604.987
503850.007,7518693.599,604.949
503845.747,7518696.217,604.91
503841.487,7518698.834,604.872
503837.227,7518701.452,604.828
503832.967,7518704.07,604.733
503828.707,7518706.688,604.547
503824.447,7518709.305,604.471
503820.187,7518711.923,604.628
503815.927,7518714.541,604.875
503811.667,7518717.159,605.18
503807.407,7518719.776,605.524
503803.147,7518722.394,605.871
503798.887,7518725.012,606.36
503794.627,7518727.63,607.046
503790.367,7518730.247,608.067
503786.107,7518732.865,608.83
503781.847,7518735.483,609.037
503777.587,7518738.101,608.984
